service_id,date,exception_type
293.10.4,20240415,1
293.133.4,20240415,1
293.10.4,20240416,1
293.133.4,20240416,1
293.10.4,20240417,1
293.133.4,20240417,1
293.10.4,20240418,1
293.133.4,20240418,1
293.10.4,20240419,1
293.133.4,20240419,1
293.2769.4,20240419,1
293.10.4,20240422,1
293.133.4,20240422,1
293.10.4,20240423,1
293.133.4,20240423,1
293.10.4,20240424,1
293.133.4,20240424,1
293.10.4,20240425,1
293.133.4,20240425,1
293.10.4,20240426,1
293.133.4,20240426,1
293.2769.4,20240426,1
293.10.4,20240430,1
293.10.4,20240501,1
293.10.4,20240502,1
293.10.4,20240503,1
293.2769.4,20240503,1
293.127.2,20240504,1
293.10.4,20240506,1
293.10.4,20240507,1
293.10.4,20240508,1
293.10.4,20240509,1
293.10.4,20240510,1
293.2769.4,20240510,1
293.127.2,20240511,1
293.10.4,20240513,1
293.10.4,20240514,1
293.10.4,20240515,1
293.10.4,20240516,1
293.10.4,20240517,1
293.2769.4,20240517,1
293.127.2,20240518,1
293.10.4,20240520,1
293.10.4,20240521,1
293.10.4,20240522,1
293.10.4,20240523,1
293.10.4,20240524,1
293.2769.4,20240524,1
293.127.2,20240525,1
293.0.22,20240527,1
293.0.4,20240527,2
293.2769.4,20240531,1
293.127.2,20240601,1
293.713.4,20240607,1
293.1562.4,20240607,1
293.2769.4,20240607,1
293.127.2,20240608,1
293.713.4,20240614,1
293.1562.4,20240614,1
293.2769.4,20240614,1
293.127.2,20240615,1
293.713.4,20240621,1
293.1562.4,20240621,1
293.2769.4,20240621,1
293.127.2,20240622,1
293.713.4,20240628,1
293.1562.4,20240628,1
293.2769.4,20240628,1
293.127.2,20240629,1
293.0.23,20240704,1
293.0.4,20240704,2
293.713.4,20240705,1
293.1562.4,20240705,1
293.2769.4,20240705,1
293.127.2,20240706,1
293.713.4,20240712,1
293.1562.4,20240712,1
293.2769.4,20240712,1
293.127.2,20240713,1
293.713.4,20240719,1
293.1562.4,20240719,1
293.2769.4,20240719,1
293.127.2,20240720,1
293.0.15,20240724,1
293.0.4,20240724,2
293.713.4,20240726,1
293.1562.4,20240726,1
293.2769.4,20240726,1
293.127.2,20240727,1
293.713.4,20240802,1
293.1562.4,20240802,1
293.2769.4,20240802,1
293.127.2,20240803,1
293.713.4,20240809,1
293.1562.4,20240809,1
293.2769.4,20240809,1
293.127.2,20240810,1
293.2769.4,20240816,1
